Latitude,Longitude,U,Th,K
89.5,-179.5,1.440,1.346,6.074
89.5,-178.5,1.426,1.331,6.019
89.5,-177.5,1.427,1.332,6.026
89.5,-176.5,1.429,1.334,6.035
89.5,-175.5,1.432,1.336,6.046
89.5,-174.5,1.435,1.339,6.060
89.5,-173.5,1.439,1.342,6.076
89.5,-172.5,1.443,1.346,6.094
89.5,-171.5,1.448,1.351,6.115
89.5,-170.5,1.454,1.356,6.138
89.5,-169.5,1.460,1.362,6.165
89.5,-168.5,1.468,1.368,6.195
89.5,-167.5,1.476,1.376,6.229
89.5,-166.5,1.486,1.384,6.266
89.5,-165.5,1.496,1.394,6.309
89.5,-164.5,1.509,1.405,6.357
89.5,-163.5,1.523,1.418,6.411
89.5,-162.5,1.540,1.433,6.475
89.5,-161.5,1.559,1.450,6.547
89.5,-160.5,1.581,1.469,6.630
89.5,-159.5,1.606,1.492,6.722
89.5,-158.5,1.635,1.517,6.826
89.5,-157.5,1.666,1.544,6.938
89.5,-156.5,1.667,1.546,6.945
89.5,-155.5,1.669,1.547,6.952
89.5,-154.5,1.671,1.548,6.957
89.5,-153.5,1.701,1.576,7.067
89.5,-152.5,1.729,1.600,7.168
89.5,-151.5,1.754,1.622,7.259
89.5,-150.5,1.776,1.642,7.338
89.5,-149.5,1.794,1.658,7.405
89.5,-148.5,1.809,1.671,7.462
89.5,-147.5,1.822,1.683,7.509
89.5,-146.5,1.832,1.691,7.545
89.5,-145.5,1.839,1.698,7.574
89.5,-144.5,1.845,1.703,7.594
89.5,-143.5,1.849,1.706,7.609
89.5,-142.5,1.850,1.708,7.613
89.5,-141.5,1.850,1.707,7.612
89.5,-140.5,1.847,1.705,7.601
89.5,-139.5,1.842,1.701,7.583
89.5,-138.5,1.835,1.694,7.553
89.5,-137.5,1.824,1.685,7.515
89.5,-136.5,1.811,1.673,7.464
89.5,-135.5,1.794,1.658,7.403
89.5,-134.5,1.773,1.639,7.327
89.5,-133.5,1.749,1.618,7.238
89.5,-132.5,1.720,1.592,7.133
89.5,-131.5,1.687,1.563,7.017
89.5,-130.5,1.687,1.563,7.016
89.5,-129.5,1.686,1.563,7.014
89.5,-128.5,1.686,1.562,7.011
89.5,-127.5,1.652,1.532,6.892
89.5,-126.5,1.622,1.505,6.782
89.5,-125.5,1.595,1.482,6.684
89.5,-124.5,1.571,1.461,6.598
89.5,-123.5,1.551,1.443,6.523
89.5,-122.5,1.534,1.428,6.458
