Country Code,Country,Sitename,Location,Status,Gross (MWe),Thermal (MWt),Load Factor (%),lat (-90 to 90),lng (-180 to 180),alt (m),IAEA url
AR,ARGENTINA,ATUCHA-1,LIMA,Operational,357,1179,71.1,-34.04476,-59.19757,44,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
AR,ARGENTINA,ATUCHA-2,LIMA,Under Construction,745,2160,0,-34.04476,-59.19757,44,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
AR,ARGENTINA,CAREM25,LIMA,Under Construction,29,100,0,-34.04476,-59.19757,39,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1055
AR,ARGENTINA,EMBALSE,EMBALSE,Operational,648,2015,82.6,-32.18333,-64.41667,563,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
AM,ARMENIA,ARMENIAN-1,METSAMOR,Permanent Shutdown,408,1375,0,40.14278,44.11639,882,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1
AM,ARMENIA,ARMENIAN-2,METSAMOR,Operational,408,1375,64.3,40.14278,44.11639,882,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
BY,BELARUS,BELARUSIAN-1,Ostrovets,Under Construction,1194,3200,0,54.61361,25.95528,201,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1056
BE,BELGIUM,BR-3,MOL,Permanent Shutdown,12,41,40.2,51.19109,5.11706,76,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
BE,BELGIUM,DOEL-1,DOEL-BEVEREN,Operational,454,1311,86.1,51.31060,4.26497,44,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=9
BE,BELGIUM,DOEL-2,DOEL-BEVEREN,Operational,454,1311,83.1,51.31060,4.26497,44,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
BE,BELGIUM,DOEL-3,DOEL-BEVEREN,Operational,1056,3054,83.7,51.31060,4.26497,44,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=12
BE,BELGIUM,DOEL-4,DOEL-BEVEREN,Operational,1090,2988,84,51.31060,4.26497,44,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=14
BE,BELGIUM,TIHANGE-1,TIHANGE,Operational,1009,2873,83.5,50.52970,5.26146,187,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=10
BE,BELGIUM,TIHANGE-2,TIHANGE,Operational,1055,3064,85.6,50.52970,5.26146,187,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=13
BE,BELGIUM,TIHANGE-3,TIHANGE,Operational,1094,3000,87.6,50.52970,5.26146,187,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
BR,BRAZIL,ANGRA-1,ANGRA DOS-REIS,Operational,640,1882,48.9,-23.00573,-44.31576,13,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
BR,BRAZIL,ANGRA-2,ANGRA DOS-REIS,Operational,1350,3764,82.1,-23.00573,-44.31576,13,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=25
BR,BRAZIL,ANGRA-3,ANGRA DOS-REIS,Under Construction,1350,3765,0,-23.00573,-44.31576,13,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=26
BG,BULGARIA,KOZLODUY-1,VRATZA,Permanent Shutdown,440,1375,60.1,43.21024,23.55288,444,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=16
BG,BULGARIA,KOZLODUY-2,VRATZA,Permanent Shutdown,440,1375,64.4,43.21024,23.55288,444,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17
BG,BULGARIA,KOZLODUY-3,VRATZA,Permanent Shutdown,440,1375,67.4,43.21024,23.55288,444,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=18
BG,BULGARIA,KOZLODUY-4,VRATZA,Permanent Shutdown,440,1375,69.2,43.21024,23.55288,444,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=19
BG,BULGARIA,KOZLODUY-5,VRATZA,Operational,1000,3000,60.3,43.21024,23.55288,444,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=20
BG,BULGARIA,KOZLODUY-6,VRATZA,Operational,1000,3000,68,43.21024,23.55288,444,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=21
CA,CANADA,BRUCE-1,TIVERTON,Operational,824,2575,65.1,44.26766,-81.54332,198,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
CA,CANADA,BRUCE-2,TIVERTON,Operational,786,2456,61.2,44.26766,-81.54332,198,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=54
CA,CANADA,BRUCE-3,TIVERTON,Operational,805,2832,72.9,44.26766,-81.54332,198,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=30
