Country Code,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2013 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
AM,ARMENIA,ARMENIAN-1,METSAMOR,Permanent Shutdown,408,1375,0,0,40.1808444,44.1489083,952.5,PRIS,Map
AM,ARMENIA,ARMENIAN-2,METSAMOR,Operational,408,1375,64.3,66,40.1808444,44.1489083,952.5,PRIS,Map
AR,ARGENTINA,ATUCHA-1,LIMA,Operational,357,1179,71.1,83.5,-33.96333,-59.18639,22.1,PRIS,Map
AR,ARGENTINA,EMBALSE,EMBALSE,Operational,648,2015,82.6,62.5,-32.232,-64.443,596.1,PRIS,Map
AR,ARGENTINA,ATUCHA-2,LIMA,Operational,745,2160,0,0,-33.9675194,-59.2051194,23.3,PRIS,Map
BE,BELGIUM,BR-3,MOL,Permanent Shutdown,12,41,40.2,0,0,0,-4924.6,PRIS,Map
BE,BELGIUM,DOEL-1,DOEL-BEVEREN,Operational,454,1311,86.1,97.8,51.32472,4.25861,46.8,PRIS,Map
BE,BELGIUM,TIHANGE-1,TIHANGE,Operational,1009,2873,83.5,81.6,50.5346278,5.2725333,126.2,PRIS,Map
BE,BELGIUM,DOEL-2,DOEL-BEVEREN,Operational,454,1311,83.1,94,51.32472,4.25861,46.8,PRIS,Map
BE,BELGIUM,DOEL-3,DOEL-BEVEREN,Operational,1056,3054,83.7,56.7,51.32472,4.25861,46.8,PRIS,Map
BE,BELGIUM,TIHANGE-2,TIHANGE,Operational,1055,3064,85.6,55.9,50.5346278,5.2725333,126.2,PRIS,Map
BE,BELGIUM,DOEL-4,DOEL-BEVEREN,Operational,1090,2988,84,92.8,51.32472,4.25861,46.8,PRIS,Map
BE,BELGIUM,TIHANGE-3,TIHANGE,Operational,1094,3000,87.6,88.3,50.5346278,5.2725333,126.2,PRIS,Map
BG,BULGARIA,KOZLODUY-1,VRATZA,Permanent Shutdown,440,1375,60.1,0,43.74611,23.77056,102.7,PRIS,Map
BG,BULGARIA,KOZLODUY-2,VRATZA,Permanent Shutdown,440,1375,64.4,0,43.74611,23.77056,102.7,PRIS,Map
BG,BULGARIA,KOZLODUY-3,VRATZA,Permanent Shutdown,440,1375,67.4,0,43.74611,23.77056,102.7,PRIS,Map
BG,BULGARIA,KOZLODUY-4,VRATZA,Permanent Shutdown,440,1375,69.2,0,43.74611,23.77056,102.7,PRIS,Map
BG,BULGARIA,KOZLODUY-5,VRATZA,Operational,1000,3000,60.3,78.7,43.74611,23.77056,102.7,PRIS,Map
BG,BULGARIA,KOZLODUY-6,VRATZA,Operational,1000,3000,68,80.8,43.74611,23.77056,102.7,PRIS,Map
BR,BRAZIL,ANGRA-1,ANGRA DOS-REIS,Operational,640,1882,48.9,70,-23.00833,-44.45722,98.0,PRIS,Map
BR,BRAZIL,ANGRA-2,ANGRA DOS-REIS,Operational,1350,3764,82.1,89.9,-23.00833,-44.45722,98.0,PRIS,Map
BR,BRAZIL,ANGRA-3,ANGRA DOS-REIS,Under Construction,1350,3765,0,0,-23.00833,-44.45722,98.0,PRIS,Map
CA,CANADA,ROLPHTON NPD,ROLPHTON,Permanent Shutdown,25,92,67.1,0,46.18111,-77.69583,113.5,PRIS,Map
CA,CANADA,BRUCE-3,TIVERTON,Operational,805,2832,72.9,86.3,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,BRUCE-4,TIVERTON,Operational,805,2832,71.7,64.6,44.32528,-81.59944,130.2,PRIS,Map
CA,CANADA,GENTILLY-2,BECANCOUR,Permanent Shutdown,675,2156,76.2,70.7,46.39583,-72.35694,-21.1,PRIS,Map
